value,type,context,source,date
104[.]194[.]215[.]88,ip,UNC1549 operational IP (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
13[.]60[.]50[.]172,ip,UNC1549 operational IP (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
167[.]172[.]137[.]208,ip,UNC1549 operational IP (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
34[.]18[.]42[.]26,ip,UNC1549 operational IP (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
4[.]188[.]75[.]206,ip,UNC1549 operational IP (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
4[.]240[.]113[.]27,ip,UNC1549 operational IP (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
40[.]119[.]176[.]233,ip,UNC1549 operational IP (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
airbus[.]usa-careers[.]com,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
airplaneserviceticketings[.]com,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
airtravellog[.]com,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
automationagencybusiness[.]com,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
fdtsprobusinesssolutions[.]com,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
forcecodestore[.]com,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
tini-ventures[.]com,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
thetacticstore[.]com,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
politicalanorak[.]com,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
vcs-news[.]com,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
ac-connection-status105[.]azurewebsites[.]net,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
acc-cloud-connection[.]azurewebsites[.]net,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
active-az-check-status45[.]azurewebsites[.]net,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
active-az-check-status675[.]azurewebsites[.]net,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
active-az-status45[.]azurewebsites[.]net,domain,UNC1549 C2/masquerading domain (defanged),https://cloud.google.com/blog/topics/threat-intelligence/suspected-iranian-unc1549-targets-israel-middle-east,
